iter	Passed	Remaining
883	9306	1221
884	9318	1210
885	9326	1200
886	9337	1189
887	9348	1179
888	9357	1168
889	9368	1157
890	9376	1147
891	9386	1136
892	9396	1125
893	9406	1115
894	9418	1104
895	9427	1094
896	9438	1083
897	9447	1073
898	9457	1062
899	9469	1052
900	9480	1041
901	9488	1030
902	9499	1020
903	9509	1009
904	9519	999
905	9529	988
906	9539	978
907	9549	967
908	9562	957
909	9571	946
910	9582	936
911	9593	925
912	9601	914
913	9612	904
914	9620	893
915	9632	883
916	9643	872
917	9652	862
918	9663	851
919	9672	841
920	9682	830
921	9694	820
922	9703	809
923	9713	798
924	9722	788
925	9731	777
926	9742	767
927	9751	756
928	9762	746
929	9772	735
930	9781	724
931	9791	714
932	9801	703
933	9811	693
934	9821	682
935	9830	672
936	9842	661
937	9852	651
938	9860	640
939	9870	630
940	9881	619
941	9892	609
942	9904	598
943	9912	588
944	9922	577
945	9931	566
946	9942	556
947	9951	545
948	9959	535
949	9970	524
950	9980	514
951	9991	503
952	10001	493
953	10009	482
954	10020	472
955	10029	461
956	10039	451
957	10048	440
958	10057	429
959	10068	419
960	10077	408
961	10087	398
962	10098	387
963	10106	377
964	10118	366
965	10127	356
966	10136	345
967	10147	335
968	10156	324
969	10168	314
970	10184	304
971	10203	293
972	10220	283
973	10232	273
974	10245	262
975	10253	252
976	10264	241
977	10273	231
978	10285	220
979	10297	210
980	10306	199
981	10316	189
982	10327	178
983	10336	168
984	10344	157
985	10355	147
986	10363	136
987	10375	126
988	10384	115
989	10395	105
990	10406	94
991	10415	83
992	10425	73
993	10433	62
994	10442	52
995	10452	41
996	10460	31
997	10471	20
998	10480	10
999	10491	0
